MOVIE,member_no,DEPARTMENT.y,gender,gender_count
Alice Through the Looking Glass_(2016),1,Art Department_,Men,1
Alice Through the Looking Glass_(2016),1,Sound Department_,Men,1
Batman v Superman: Dawn of Justice_(2016),135,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),135,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),135,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),135,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),135,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),135,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),135,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),135,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),135,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),135,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),135,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),135,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),135,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),135,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),135,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),135,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),135,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),135,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),135,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),135,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),135,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),135,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),135,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),135,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),135,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),135,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),135,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),135,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),135,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),135,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),135,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),135,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),135,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),135,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),6,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),6,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),6,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),6,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),6,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),6,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),6,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),6,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),6,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),6,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),6,Makeup Department_,Men,12
