"username","commentcount","likecount","type","description","pubyear","pubmonth","pubday","posturl"
"kamalaharris","664","68427","Photo","Rang in the new year with loved ones. May 2020 bring you an abundance of happiness and joy as we continue to fight for a better future for all.","2020","1","1","https://www.instagram.com/p/B6yYCkvlofK/"
"kamalaharris","1387","36955","Video","I've always only had one client: the people.","2019","11","2","https://www.instagram.com/p/B4YF1jelgbE/"
"kamalaharris","1265","49740","Photo","I do believe that when we overcome these injustices, we will unlock the promise of America and the potential of the American people. ⁣
⁣
That is the America I see. That is the America I believe in. (Link in bio to join me in our fight for justice #ForThePeople.)","2019","11","2","https://www.instagram.com/p/B4WOKsHlc6O/"
"kamalaharris","245","12304","Photo","We're ready! #LJ19","2019","11","2","https://www.instagram.com/p/B4V8-PrFnY1/"
"kamalaharris","485","16337","Video","Every conversation we have has the power to change perceptions about what is possible.","2019","11","1","https://www.instagram.com/p/B4VP4Kklu1v/"
"kamalaharris","321","6999","Video","When we say that justice is on the ballot in this election, this is what we mean.","2019","11","1","https://www.instagram.com/p/B4UyJJnF5zI/"
"kamalaharris","468","9691","Video","It shouldn’t be normal for 3-year-olds—or any children—to have to do active shooter drills.","2019","11","1","https://www.instagram.com/p/B4TX2cklgfe/"
"kamalaharris","1664","53325","Video","No small talk, just big questions.","2019","10","31","https://www.instagram.com/p/B4TBnyqlOpn/"
"kamalaharris","265","6072","Video","I wasn't afraid to take on Jeff Sessions, Bill Barr, and Brett Kavanaugh—and I'm sure not afraid to take on Donald Trump. Link in bio.","2019","10","31","https://www.instagram.com/p/B4SVdMTlUki/"
"kamalaharris","287","6272","Video","Too many people have told me, “Kamala, don’t take away my choice.” When it comes to Medicare for All, I won't take away your choice between a public or private Medicare plan—or raise middle class taxes to do it. Period.","2019","10","31","https://www.instagram.com/p/B4Qwr3OFyRP/"
"kamalaharris","904","20910","Video","The president is the commander in chief of our military. Her highest priority should be upholding our national security—not treating it like a video game.","2019","10","29","https://www.instagram.com/p/B4N0y4JFLQu/"
"kamalaharris","583","27175","Photo","As the wildfires continue in California, many people will lose everything. It’s heartbreaking and can devastate their entire lives. If you can, please consider giving to @calfund to help the victims of these fires. [Link in bio to donate] ⁣
⁣
📷: @lacofireairops","2019","10","29","https://www.instagram.com/p/B4NkxO6lNEM/"
"kamalaharris","275","13303","Photo","Because of Democrats’ victories in 2017, Virginia was able to expand Medicaid and get more than 300,000 people health care. I spent Sunday canvassing for Virginia Democrats, and in 8 days, we can flip the Virginia legislature blue and make even more progress. #FlipVABlue ‬","2019","10","28","https://www.instagram.com/p/B4KphLdlZQk/"
"kamalaharris","275","13303","Photo","Because of Democrats’ victories in 2017, Virginia was able to expand Medicaid and get more than 300,000 people health care. I spent Sunday canvassing for Virginia Democrats, and in 8 days, we can flip the Virginia legislature blue and make even more progress. #FlipVABlue ‬","2019","10","28","https://www.instagram.com/p/B4KphLdlZQk/"
"kamalaharris","275","13303","Photo","Because of Democrats’ victories in 2017, Virginia was able to expand Medicaid and get more than 300,000 people health care. I spent Sunday canvassing for Virginia Democrats, and in 8 days, we can flip the Virginia legislature blue and make even more progress. #FlipVABlue ‬","2019","10","28","https://www.instagram.com/p/B4KphLdlZQk/"
"kamalaharris","275","13303","Photo","Because of Democrats’ victories in 2017, Virginia was able to expand Medicaid and get more than 300,000 people health care. I spent Sunday canvassing for Virginia Democrats, and in 8 days, we can flip the Virginia legislature blue and make even more progress. #FlipVABlue ‬","2019","10","28","https://www.instagram.com/p/B4KphLdlZQk/"
"kamalaharris","275","13303","Photo","Because of Democrats’ victories in 2017, Virginia was able to expand Medicaid and get more than 300,000 people health care. I spent Sunday canvassing for Virginia Democrats, and in 8 days, we can flip the Virginia legislature blue and make even more progress. #FlipVABlue ‬","2019","10","28","https://www.instagram.com/p/B4KphLdlZQk/"
"kamalaharris","275","13303","Photo","Because of Democrats’ victories in 2017, Virginia was able to expand Medicaid and get more than 300,000 people health care. I spent Sunday canvassing for Virginia Democrats, and in 8 days, we can flip the Virginia legislature blue and make even more progress. #FlipVABlue ‬","2019","10","28","https://www.instagram.com/p/B4KphLdlZQk/"
"kamalaharris","275","13303","Photo","Because of Democrats’ victories in 2017, Virginia was able to expand Medicaid and get more than 300,000 people health care. I spent Sunday canvassing for Virginia Democrats, and in 8 days, we can flip the Virginia legislature blue and make even more progress. #FlipVABlue ‬","2019","10","28","https://www.instagram.com/p/B4KphLdlZQk/"
"kamalaharris","275","13303","Photo","Because of Democrats’ victories in 2017, Virginia was able to expand Medicaid and get more than 300,000 people health care. I spent Sunday canvassing for Virginia Democrats, and in 8 days, we can flip the Virginia legislature blue and make even more progress. #FlipVABlue ‬","2019","10","28","https://www.instagram.com/p/B4KphLdlZQk/"
"kamalaharris","398","18560","Photo","#Knocktober might only come once a year, but our work of organizing in our communities never stops. Go get those doors! 📸: @liittlemermaid","2019","10","27","https://www.instagram.com/p/B4IVNRSFuO4/"
"kamalaharris","819","14317","Video","Donald Trump comparing impeachment to millions of Americans who experience injustice in our criminal justice system is ridiculous and offensive.","2019","10","26","https://www.instagram.com/p/B4GYYxFFLuX/"
"kamalaharris","1823","40841","Photo",,"2019","10","26","https://www.instagram.com/p/B4FcTmDl-wh/"
"kamalaharris","1194","39746","Photo","Once I heard Trump got an award at the Second Step Presidential Justice Forum and stopped HBCU students from attending, I decided to do my own criminal justice reform event tomorrow instead. He's celebrated mass incarceration and pushed the death penalty for innocent Black children.⁣
⁣
I won't be complicit in papering over his record. [link in bio]","2019","10","26","https://www.instagram.com/p/B4D7_QAFVJy/"
"kamalaharris","368","21506","Photo","We don’t have to accept a system that drowns out your voice. We can do better. I don't have a super PAC but I do have you. Let’s build this movement together. Chip in $5 or $10 today. (Link in bio)","2019","10","25","https://www.instagram.com/p/B4DkwCjlk5K/"
"kamalaharris","178","6670","Video","Our organizers, supporters, and volunteers are empowering communities across the nation. I couldn’t be more proud of them.","2019","10","24","https://www.instagram.com/p/B4BNPIflaCf/"
"kamalaharris","170","7409","Video","These organizers are moving to Iowa too.","2019","10","24","https://www.instagram.com/p/B4AX7szlv9i/"
"kamalaharris","414","11303","Video","I lost my mother to cancer. In honor of her and anyone who has ever lost a loved one to cancer, I promise public funding for cancer research will be one of my highest priorities.","2019","10","23","https://www.instagram.com/p/B3909DdFeMn/"
"kamalaharris","1592","51590","Photo","Native Americans were here first. 
We made them many promises, but our nation has failed to fulfill our obligations to Tribal Nations. I released a plan that will honor tribal sovereignty and invest in Native American communities. (Link in bio)","2019","10","22","https://www.instagram.com/p/B378eVXFA-D/"
"kamalaharris","1554","76666","Video","I've always said that when you're campaigning, you meet the angels walking among us. That was certainly true yesterday.","2019","10","22","https://www.instagram.com/p/B37sb2UlZwB/"
"kamalaharris","2677","84370","Photo",,"2019","10","22","https://www.instagram.com/p/B37GO8flyQ-/"
"kamalaharris","385","7911","Video","These are the moments that test our faith.","2019","10","21","https://www.instagram.com/p/B34wDOfCPoe/"
"kamalaharris","518","19577","Video","I can't wait to try out these recipes. Thanks for making this birthday so incredibly special.","2019","10","21","https://www.instagram.com/p/B33MrZHiCuI/"
"kamalaharris","345","15222","Video","My birthday brother has the best smile in the world.","2019","10","20","https://www.instagram.com/p/B32ru00lIg8/"
"kamalaharris","392","38617","Photo","Every birthday is extra special when you share it with your niece. Happy birthday, Meena!","2019","10","20","https://www.instagram.com/p/B32fagyHIKc/"
"kamalaharris","279","16663","Photo","Nothing like an inspiring church service on your birthday. Thanks for the warm welcome Brookland Baptist Church.","2019","10","20","https://www.instagram.com/p/B32RtG-lJdy/"
"kamalaharris","3874","76912","Photo","Today’s Kamala's birthday. Join #TeamKamala by wishing her a happy birthday in the comments below!","2019","10","20","https://www.instagram.com/p/B312zsKFYTl/"
"kamalaharris","395","30982","Photo","The rain couldn't keep us away from @scstate1896 homecoming. Always a good time catching up with @cthagod.","2019","10","20","https://www.instagram.com/p/B30h-j4F11o/"
"kamalaharris","284","38374","Photo","My mother was a pioneering breast cancer researcher, so I grew up learning about the importance of screening and early detection. This Breast Cancer Awareness Month, I hope you’ll help help spread the word.","2019","10","19","https://www.instagram.com/p/B30OoOoF2ZG/"
"kamalaharris","272","12335","Video","You never know who you'll run into on the streets of Iowa.","2019","10","19","https://www.instagram.com/p/B3znFO7n-qv/"
"kamalaharris","217","10818","Video","Elijah Cummings was a great American who believed in love of country and working across the aisle in every way. I will miss him dearly.","2019","10","18","https://www.instagram.com/p/B3xk4NYlCR7/"
"kamalaharris","719","45262","Video","Honored you took my words to heart (and arm), @jaedyn01_ ♥️","2019","10","18","https://www.instagram.com/p/B3xK8R0lNVr/"
"kamalaharris","143","7963","Video","Our team was blessed to have Madeline Jackson, a 95-year-old supporter, marching with us at @Howard1867. Her joy was contagious.","2019","10","17","https://www.instagram.com/p/B3u8_R_Hcmc/"
"kamalaharris","836","36397","Photo","No one should ever be bullied or harassed because of how they identify or who they love. We are here for you. #SpiritDay","2019","10","17","https://www.instagram.com/p/B3ucOLKF001/"
"kamalaharris","524","28789","Photo","Rural America isn’t looking for more empty promises from their next president. I have a plan to create jobs through real investments, reverse the deeply harmful effects of the Trump Trade War, and increase access to critical infrastructure like broadband. [Plan in bio]","2019","10","17","https://www.instagram.com/p/B3uO1nyF4rq/"
